"Punto (x, y)",Temperatura (°C)
"x=0.00, y=0.00",0.0
"x=0.00, y=0.24",0.0
"x=0.00, y=0.49",0.0
"x=0.00, y=0.76",0.0
"x=0.00, y=1.00",50.0
"x=0.24, y=0.00",0.0
"x=0.24, y=0.24",7.5105435627313435
"x=0.24, y=0.49",15.257552315998687
"x=0.24, y=0.76",27.826016216957807
"x=0.49, y=0.00",0.0
"x=0.49, y=0.24",15.257552315998687
"x=0.49, y=0.49",28.160742034357284
"x=0.49, y=0.76",42.2897095901902
"x=0.76, y=0.00",0.0
"x=0.76, y=0.24",27.8260162169578
"x=0.76, y=0.49",42.289709590190185
"x=1.00, y=0.00",0.0
